finding_id,scanner,category,severity,title,description,service_name,repo_url,file_path,line_number,cwe_id,dependency_name,current_version,fixed_version,language
FIND-0001,snyk,dependency_vulnerability,critical,Remote Code Execution in Log4j Core,"Log4j2 versions prior to 2.17.1 are vulnerable to remote code execution via JNDI lookup injection (Log4Shell).",payment-service,https://github.com/coupang-demo/payment-service,pom.xml,,CWE-502,log4j-core,2.14.1,2.17.1,java
FIND-0002,sonarqube,sql_injection,high,SQL Injection in TransactionDAO.findByUserId,User-controlled input is concatenated directly into a SQL query string without parameterization.,payment-service,https://github.com/coupang-demo/payment-service,src/main/java/com/coupang/payment/dao/TransactionDAO.java,42,CWE-89,,,,java
FIND-0003,snyk,dependency_vulnerability,high,Deserialization Vulnerability in Jackson Databind,"Jackson-databind before 2.14.0 allows polymorphic deserialization of untrusted data, leading to remote code execution.",payment-service,https://github.com/coupang-demo/payment-service,pom.xml,,CWE-502,jackson-databind,2.13.0,2.14.0,java
FIND-0004,sonarqube,hardcoded_secret,medium,Hardcoded Database Password in DatabaseConfig,Database connection password is hardcoded as a string literal instead of being read from environment variables.,payment-service,https://github.com/coupang-demo/payment-service,src/main/java/com/coupang/payment/config/DatabaseConfig.java,28,CWE-798,,,,java
FIND-0005,snyk,dependency_vulnerability,critical,Multiple CVEs in Spring Boot Starter Web,Spring Boot Starter Web 2.7.0 contains multiple vulnerabilities including request smuggling and denial of service.,payment-service,https://github.com/coupang-demo/payment-service,pom.xml,,CWE-1035,spring-boot-starter-web,2.7.0,2.7.18,java
FIND-0006,codeql,missing_encryption,medium,Unencrypted PAN Storage in Transaction Entity,Credit card primary account numbers are stored in the database without encryption or tokenization.,payment-service,https://github.com/coupang-demo/payment-service,src/main/java/com/coupang/payment/model/Transaction.java,67,CWE-311,,,,java
FIND-0007,sonarqube,access_logging,low,Missing Audit Logging on Payment Endpoints,Payment processing endpoints do not log access events required for PCI-DSS compliance auditing.,payment-service,https://github.com/coupang-demo/payment-service,src/main/java/com/coupang/payment/controller/PaymentController.java,95,CWE-778,,,,java
FIND-0008,codeql,sql_injection,critical,SQL Injection in User Search Endpoint,Raw SQL query constructed using f-string interpolation with unsanitized user input from query parameters.,user-service,https://github.com/coupang-demo/user-service,app/routes/user_routes.py,55,CWE-89,,,,python
FIND-0009,snyk,dependency_vulnerability,high,SSRF Vulnerability in Requests Library,Requests library before 2.31.0 is vulnerable to server-side request forgery when handling redirects.,user-service,https://github.com/coupang-demo/user-service,requirements.txt,,CWE-1035,requests,2.25.0,2.31.0,python
FIND-0010,sonarqube,pii_logging,high,"PII Logged in User Registration Flow","User email addresses and phone numbers are written to application logs during the registration flow.",user-service,https://github.com/coupang-demo/user-service,app/routes/user_routes.py,112,CWE-532,,,,python
FIND-0011,snyk,dependency_vulnerability,medium,Security Bypass in Flask Framework,"Flask versions before 2.3.3 have a vulnerability that allows certain security mechanisms to be bypassed.",user-service,https://github.com/coupang-demo/user-service,requirements.txt,,CWE-1035,Flask,2.0.1,2.3.3,python
FIND-0012,codeql,hardcoded_secret,medium,Hardcoded JWT Secret Key in Configuration,JWT signing secret is hardcoded in the application configuration file instead of using environment variables.,user-service,https://github.com/coupang-demo/user-service,config.py,15,CWE-798,,,,python
FIND-0013,snyk,dependency_vulnerability,low,XSS via Template Injection in Jinja2,Jinja2 before 3.1.3 is vulnerable to cross-site scripting when the sandbox mode is not enabled.,user-service,https://github.com/coupang-demo/user-service,requirements.txt,,CWE-1035,Jinja2,3.0.1,3.1.3,python
FIND-0014,sonarqube,missing_encryption,high,Unencrypted Password Reset Tokens,Password reset tokens are stored in plaintext in the database without hashing or encryption.,user-service,https://github.com/coupang-demo/user-service,app/models/user.py,34,CWE-311,,,,python
FIND-0015,snyk,dependency_vulnerability,critical,Prototype Pollution in Lodash,Lodash before 4.17.21 is vulnerable to prototype pollution via the merge and zipObjectDeep functions.,catalog-service,https://github.com/coupang-demo/catalog-service,package.json,,CWE-1035,lodash,4.17.20,4.17.21,typescript
FIND-0016,codeql,xss,high,Reflected XSS in Product Search Response,User-supplied search query is reflected in the HTML response without proper output encoding.,catalog-service,https://github.com/coupang-demo/catalog-service,src/controllers/catalogController.ts,78,CWE-79,,,,typescript
FIND-0017,codeql,path_traversal,medium,Path Traversal in File Download Endpoint,User-supplied filename parameter is used to construct file paths without sanitization allowing directory traversal.,catalog-service,https://github.com/coupang-demo/catalog-service,src/controllers/fileController.ts,45,CWE-22,,,,typescript
FIND-0018,sonarqube,access_logging,medium,Missing Access Logging on Admin API Routes,Administrative API routes for catalog management lack access logging for security audit compliance.,catalog-service,https://github.com/coupang-demo/catalog-service,src/middleware/auth.ts,52,CWE-778,,,,typescript
FIND-0019,sonarqube,pii_logging,low,Customer PII Exposed in Request Logging Middleware,"HTTP request logging middleware logs full request bodies, including customer names and addresses.",catalog-service,https://github.com/coupang-demo/catalog-service,src/middleware/logging.ts,23,CWE-532,,,,typescript
FIND-0020,snyk,dependency_vulnerability,low,SSRF Vulnerability in Axios HTTP Client,Axios before 1.6.0 is vulnerable to server-side request forgery via crafted URLs.,catalog-service,https://github.com/coupang-demo/catalog-service,package.json,,CWE-1035,axios,0.21.1,1.6.0,typescript
